id,word,meaning,pos,level,dictionaryType,created_at
195,along,~을 따라,adverb,a2,enko,2025-08-04 15:39
196,along,함께,preposition,a2,enko,2025-08-04 15:39
197,alongside,옆에,preposition,b2,enko,2025-08-04 15:39
198,already,이미,adverb,a2,enko,2025-08-04 15:39
199,also,또한,adverb,a1,enko,2025-08-04 15:39
200,alter,바꾸다,verb,b2,enko,2025-08-04 15:39
201,alternative,대체 가능한,adjective,b1,enko,2025-08-04 15:39
202,alternative,대안,noun,a2,enko,2025-08-04 15:39
203,although,하지만,conjunction,a2,enko,2025-08-04 15:39
204,altogether,전부,adverb,b2,enko,2025-08-04 15:39
205,aluminium,알류미늄,noun,c1,enko,2025-08-04 15:39
206,always,언제나,adverb,a1,enko,2025-08-04 15:39
207,amateur,아마추어의,adjective,c1,enko,2025-08-04 15:39
208,amateur,아마추어,noun,c1,enko,2025-08-04 15:39
209,amazed,놀란,adjective,b1,enko,2025-08-04 15:39
210,amazing,놀라운,adjective,a1,enko,2025-08-04 15:39
211,ambassador,대사,noun,c1,enko,2025-08-04 15:39
212,ambition,큰 뜻,noun,b1,enko,2025-08-04 15:39
213,ambitious,거창한,adjective,b1,enko,2025-08-04 15:39
214,ambulance,구급차,noun,b2,enko,2025-08-04 15:39
215,amend,개정하다,verb,c1,enko,2025-08-04 15:39
216,amendment,개정,noun,c1,enko,2025-08-04 15:39
217,amid,가운데에,preposition,c1,enko,2025-08-04 15:39
218,among,~ 중에,preposition,a2,enko,2025-08-04 15:39
219,amount,양,noun,a2,enko,2025-08-04 15:39
220,amount,(결국) ~이 되다,verb,b2,enko,2025-08-04 15:39
221,amusing,즐거움,adjective,b2,enko,2025-08-04 15:39
222,analogy,유추,noun,c1,enko,2025-08-04 15:39
223,analyse,분석하다,verb,b1,enko,2025-08-04 15:39
224,analysis,분석,noun,b1,enko,2025-08-04 15:39
225,analyst,분석자,noun,b2,enko,2025-08-04 15:39
226,ancestor,선조,noun,b2,enko,2025-08-04 15:39
227,anchor,닻,noun,c1,enko,2025-08-04 15:39
228,ancient,고대의,adjective,a2,enko,2025-08-04 15:39
229,and,그리고,conjunction,a1,enko,2025-08-04 15:39
230,angel,천사,noun,c1,enko,2025-08-04 15:39
231,anger,화,noun,b2,enko,2025-08-04 15:39
232,angle,각도,noun,b2,enko,2025-08-04 15:39
233,angry,화난,adjective,a1,enko,2025-08-04 15:39
234,animal,동물,noun,a1,enko,2025-08-04 15:39
235,animation,생기,noun,b2,enko,2025-08-04 15:39
236,ankle,발목,noun,a2,enko,2025-08-04 15:39
237,anniversary,기념일,noun,b2,enko,2025-08-04 15:39
238,announce,발표하다,verb,b1,enko,2025-08-04 15:39
239,announcement,발표,noun,b1,enko,2025-08-04 15:39
240,annoy,짜증나게 하다,verb,b1,enko,2025-08-04 15:39
241,annoyed,짜증이 난,adjective,b1,enko,2025-08-04 15:39
242,annoying,짜증 나는,adjective,b1,enko,2025-08-04 15:39
243,annual,연간,adjective,b2,enko,2025-08-04 15:39
244,annually,매년,adverb,b2,enko,2025-08-04 15:39
245,anonymous,익명의,adjective,c1,enko,2025-08-04 15:39
246,another,또 다른,determiner,a1,enko,2025-08-04 15:39
247,another,또 다른,pronoun,a1,enko,2025-08-04 15:39
248,answer,답변,noun,a1,enko,2025-08-04 15:39
249,answer,답변,verb,a1,enko,2025-08-04 15:39
250,anticipate,예상하다,verb,b2,enko,2025-08-04 15:39
251,anxiety,불안,noun,b2,enko,2025-08-04 15:39
252,anxious,불안해하는,adjective,b2,enko,2025-08-04 15:39
253,any,조금이라도,adverb,a2,enko,2025-08-04 15:39
254,any,어떤 ~든지,determiner,a1,enko,2025-08-04 15:39
255,any,아무것,pronoun,a1,enko,2025-08-04 15:39
256,any more,더 이상,adverb,a2,enko,2025-08-04 15:39
257,anybody,아무도,pronoun,a2,enko,2025-08-04 15:39
258,anyone,누구나,pronoun,a1,enko,2025-08-04 15:39
259,anything,아무것,pronoun,a1,enko,2025-08-04 15:39
260,anyway,그래도,adverb,a2,enko,2025-08-04 15:39
261,anywhere,어딘가에,adverb,a2,enko,2025-08-04 15:39
262,anywhere,아무 장소,pronoun,a2,enko,2025-08-04 15:39
263,apart,따로,adverb,b1,enko,2025-08-04 15:39
264,apartment,아파트,noun,a1,enko,2025-08-04 15:39
265,apologize,사과하다,verb,b1,enko,2025-08-04 15:39
266,apology,사과,noun,b2,enko,2025-08-04 15:39
267,app,앱,noun,a2,enko,2025-08-04 15:39
268,apparatus,기구,noun,c1,enko,2025-08-04 15:39
269,apparent,명백한,adjective,b2,enko,2025-08-04 15:39
270,apparently,보기에,adverb,b2,enko,2025-08-04 15:39
271,appeal,항소,noun,b2,enko,2025-08-04 15:39
272,appeal,간청하다,verb,b2,enko,2025-08-04 15:39
273,appealing,정치,adjective,c1,enko,2025-08-04 15:39
274,appear,나타나다,verb,a2,enko,2025-08-04 15:39
275,appearance,모습,noun,a2,enko,2025-08-04 15:39
276,appetite,식욕,noun,c1,enko,2025-08-04 15:39
277,applaud,박수를 보내다,verb,c1,enko,2025-08-04 15:39
278,apple,사과,noun,a1,enko,2025-08-04 15:39
279,applicable,해당되는,adjective,c1,enko,2025-08-04 15:39
280,applicant,응모자,noun,b2,enko,2025-08-04 15:39
281,application,애플리케이션,noun,b1,enko,2025-08-04 15:39
282,apply,적용하다,verb,a2,enko,2025-08-04 15:39
283,appoint,정하다,verb,c1,enko,2025-08-04 15:39
284,appointment,약속,noun,b1,enko,2025-08-04 15:39
285,appreciate,고마워하다,verb,b1,enko,2025-08-04 15:39
286,appreciation,감사,noun,c1,enko,2025-08-04 15:39
287,approach,접근,noun,b2,enko,2025-08-04 15:39
288,approach,접근하다,verb,b2,enko,2025-08-04 15:39
289,appropriate,적절한,adjective,b2,enko,2025-08-04 15:39
290,appropriately,적절하게,adverb,b2,enko,2025-08-04 15:39
291,approval,승인,noun,b2,enko,2025-08-04 15:39
292,approve,승인하다,verb,b2,enko,2025-08-04 15:39
293,approximately,약,adverb,b1,enko,2025-08-04 15:39
294,April,4월,noun,a1,enko,2025-08-04 15:39
295,arbitrary,임의적,adjective,c1,enko,2025-08-04 15:39
296,architect,건축가,noun,a2,enko,2025-08-04 15:39
297,architectural,건축,adjective,c1,enko,2025-08-04 15:39
298,architecture,건축학,noun,a2,enko,2025-08-04 15:39
299,archive,보관소,noun,c1,enko,2025-08-04 15:39
300,area,영역,noun,a1,enko,2025-08-04 15:39
301,arena,투기장,noun,c1,enko,2025-08-04 15:39
302,arguably,아마도,adverb,c1,enko,2025-08-04 15:39
303,argue,다투다,verb,a2,enko,2025-08-04 15:39
304,argument,논쟁,noun,a2,enko,2025-08-04 15:39
305,arise,생기다,verb,b2,enko,2025-08-04 15:39
306,arm,팔,noun,a1,enko,2025-08-04 15:39
307,arm,무장시키다,verb,c1,enko,2025-08-04 15:39
308,armed,무장한,adjective,b2,enko,2025-08-04 15:39
309,arms,무기,noun,b2,enko,2025-08-04 15:39
310,army,군대,noun,a2,enko,2025-08-04 15:39
311,around,약,adverb,a1,enko,2025-08-04 15:39
312,around,~의 주변에,preposition,a1,enko,2025-08-04 15:39
313,arrange,마련하다,verb,a2,enko,2025-08-04 15:39
314,arrangement,준비,noun,a2,enko,2025-08-04 15:39
315,array,정렬,noun,c1,enko,2025-08-04 15:39
316,arrest,체포,noun,b1,enko,2025-08-04 15:39
317,arrest,체포하다,verb,b1,enko,2025-08-04 15:39
318,arrival,도착,noun,b1,enko,2025-08-04 15:39
319,arrive,도착하다,verb,a1,enko,2025-08-04 15:39
320,arrow,화살,noun,b2,enko,2025-08-04 15:39
321,art,미술,noun,a1,enko,2025-08-04 15:39
322,article,기사,noun,a1,enko,2025-08-04 15:39
323,articulate,명확하게 표현하다,verb,c1,enko,2025-08-04 15:39
324,artificial,인공의,adjective,b2,enko,2025-08-04 15:39
325,artist,아티스트,noun,a1,enko,2025-08-04 15:39
326,artistic,예술적,adjective,b2,enko,2025-08-04 15:39
327,artwork,예술 작품,noun,b2,enko,2025-08-04 15:39
328,as,~처럼,adverb,a2,enko,2025-08-04 15:39
329,as,~때,conjunction,a2,enko,2025-08-04 15:39
330,as,~로서,preposition,a1,enko,2025-08-04 15:39
331,ash,재,noun,c1,enko,2025-08-04 15:39
332,ashamed,부끄러운,adjective,b2,enko,2025-08-04 15:39
333,aside,곁에,adverb,b2,enko,2025-08-04 15:39
334,ask,묻다,verb,a1,enko,2025-08-04 15:39
335,asleep,죽어,adjective,a2,enko,2025-08-04 15:39
336,aspect,측면,noun,b2,enko,2025-08-04 15:39
337,aspiration,포부,noun,c1,enko,2025-08-04 15:39
338,aspire,열망하다,verb,c1,enko,2025-08-04 15:39
339,assassination,암살,noun,c1,enko,2025-08-04 15:39
340,assault,폭행,noun,c1,enko,2025-08-04 15:39
341,assault,폭행,verb,c1,enko,2025-08-04 15:39
342,assemble,모으다,verb,c1,enko,2025-08-04 15:39
343,assembly,집회,noun,c1,enko,2025-08-04 15:39
344,assert,주장하다,verb,c1,enko,2025-08-04 15:39
345,assertion,역설,noun,c1,enko,2025-08-04 15:39
346,assess,평가하다,verb,b2,enko,2025-08-04 15:39
347,assessment,평가,noun,b2,enko,2025-08-04 15:39
348,asset,유산,noun,b2,enko,2025-08-04 15:39
349,assign,양수인,verb,b2,enko,2025-08-04 15:39
350,assignment,과제,noun,b1,enko,2025-08-04 15:39
351,assist,돕다,verb,b1,enko,2025-08-04 15:39
352,assistance,보조,noun,b2,enko,2025-08-04 15:39
353,assistant,어시스턴트,adjective,a2,enko,2025-08-04 15:39
354,assistant,어시스턴트,noun,a2,enko,2025-08-04 15:39
355,associate,연관짓다,verb,b2,enko,2025-08-04 15:39
356,associated,관련된,adjective,b2,enko,2025-08-04 15:39
357,association,협회,noun,b2,enko,2025-08-04 15:39
358,assume,추정하다,verb,b2,enko,2025-08-04 15:39
359,assumption,추정,noun,b2,enko,2025-08-04 15:39
360,assurance,보증,noun,c1,enko,2025-08-04 15:39
361,assure,확신하다,verb,b2,enko,2025-08-04 15:39
362,astonishing,놀라운,adjective,b2,enko,2025-08-04 15:39
363,asylum,보호 시설,noun,c1,enko,2025-08-04 15:39
364,at,~에,preposition,a1,enko,2025-08-04 15:39
365,athlete,운동 선수,noun,a2,enko,2025-08-04 15:39
366,atmosphere,대기,noun,b1,enko,2025-08-04 15:39
367,atrocity,포악,noun,c1,enko,2025-08-04 15:39
368,attach,붙이다,verb,b1,enko,2025-08-04 15:39
369,attachment,부착,noun,b2,enko,2025-08-04 15:39
370,attack,공격,noun,a2,enko,2025-08-04 15:39
371,attack,공격,verb,a2,enko,2025-08-04 15:39
372,attain,달성하다,verb,c1,enko,2025-08-04 15:39
373,attempt,시도,noun,b2,enko,2025-08-04 15:39
374,attempt,시도,verb,b2,enko,2025-08-04 15:39
375,attend,참석하다,verb,a2,enko,2025-08-04 15:39
376,attendance,출석,noun,c1,enko,2025-08-04 15:39
377,attention,주목,exclamation,a2,enko,2025-08-04 15:39
378,attention,주목,noun,a2,enko,2025-08-04 15:39
379,attitude,태도,noun,b1,enko,2025-08-04 15:39
380,attorney,변호사,noun,c1,enko,2025-08-04 15:39
381,attract,끌어 들이다,verb,b1,enko,2025-08-04 15:39
382,attraction,끌어 당김,noun,b1,enko,2025-08-04 15:39
383,attractive,매력적인,adjective,a2,enko,2025-08-04 15:39
384,attribute,기인하다,noun,c1,enko,2025-08-04 15:39
385,attribute,기인하다,verb,c1,enko,2025-08-04 15:39
386,auction,경매,noun,b2,enko,2025-08-04 15:39
387,audience,청중,noun,a2,enko,2025-08-04 15:39
388,audio,오디오,adjective,b2,enko,2025-08-04 15:39
389,audit,심사,noun,c1,enko,2025-08-04 15:39
390,August,팔월,noun,a1,enko,2025-08-04 15:39
391,aunt,이모,noun,a1,enko,2025-08-04 15:39
392,authentic,진본인,adjective,c1,enko,2025-08-04 15:39
393,author,작가,noun,a2,enko,2025-08-04 15:39
394,authority,권한,noun,b1,enko,2025-08-04 15:39
395,authorize,허가하다,verb,c1,enko,2025-08-04 15:39
396,auto,자동차,noun,c1,enko,2025-08-04 15:39
397,automatic,오토매틱,adjective,b2,enko,2025-08-04 15:39
398,automatically,자동으로,adverb,b2,enko,2025-08-04 15:39
399,autonomy,자치,noun,c1,enko,2025-08-04 15:39
400,autumn,가을,noun,a1,enko,2025-08-04 15:39
401,availability,유효성,noun,c1,enko,2025-08-04 15:39
402,available,사용 가능,adjective,a2,enko,2025-08-04 15:39
403,average,평균,adjective,a2,enko,2025-08-04 15:39
404,average,평균,noun,a2,enko,2025-08-04 15:39
405,average,평균,verb,b1,enko,2025-08-04 15:39
406,avoid,피하다,verb,a2,enko,2025-08-04 15:39
407,await,기다리다,verb,c1,enko,2025-08-04 15:39
408,award,상,noun,a2,enko,2025-08-04 15:39
409,award,상,verb,b1,enko,2025-08-04 15:39
410,aware,알고 있는,adjective,b1,enko,2025-08-04 15:39
411,awareness,의식,noun,b2,enko,2025-08-04 15:39
412,away,떨어져 있는,adverb,a1,enko,2025-08-04 15:39
413,awful,끔찍한,adjective,a2,enko,2025-08-04 15:39
414,awkward,어색한,adjective,b2,enko,2025-08-04 15:39
415,baby,아기,noun,a1,enko,2025-08-04 15:39
416,back,뒤쪽에,adjective,a2,enko,2025-08-04 15:39
417,back,뒤쪽에,adverb,a1,enko,2025-08-04 15:39
418,back,뒤쪽에,noun,a1,enko,2025-08-04 15:39
419,back,뒤쪽에,verb,b2,enko,2025-08-04 15:39
420,backdrop,배경,noun,c1,enko,2025-08-04 15:39
421,background,배경,noun,a2,enko,2025-08-04 15:39
422,backing,역행,noun,c1,enko,2025-08-04 15:39
423,backup,지원,noun,c1,enko,2025-08-04 15:39
424,backwards,뒤로,adverb,b1,enko,2025-08-04 15:39
425,bacteria,박테리아,noun,b2,enko,2025-08-04 15:39
426,bad,나쁜,adjective,a1,enko,2025-08-04 15:39
427,badge,배지,noun,b2,enko,2025-08-04 15:39
428,badly,심하게,adverb,a2,enko,2025-08-04 15:39
429,bag,가방,noun,a1,enko,2025-08-04 15:39
430,bail,보석,noun,c1,enko,2025-08-04 15:39
431,bake,빵 굽기,verb,b1,enko,2025-08-04 15:39
432,balance,균형,noun,b1,enko,2025-08-04 15:39
433,balance,균형,verb,b1,enko,2025-08-04 15:39
434,balanced,균형 잡힌,adjective,b2,enko,2025-08-04 15:39
435,ball,공,noun,a1,enko,2025-08-04 15:39
436,ballet,발레,noun,b2,enko,2025-08-04 15:39
437,balloon,풍선,noun,b2,enko,2025-08-04 15:39
438,ballot,투표권,noun,c1,enko,2025-08-04 15:39
439,ban,반,noun,b1,enko,2025-08-04 15:39
440,ban,반,verb,b1,enko,2025-08-04 15:39
441,banana,바나나,noun,a1,enko,2025-08-04 15:39
442,band,밴드,noun,a1,enko,2025-08-04 15:39
443,bank,은행,noun,a1,enko,2025-08-04 15:39
444,banner,기치,noun,c1,enko,2025-08-04 15:39
445,bar,술집,noun,a2,enko,2025-08-04 15:39
446,bar,술집,verb,b2,enko,2025-08-04 15:39
447,bare,없는,adjective,c1,enko,2025-08-04 15:39
448,barely,간신히,adverb,b2,enko,2025-08-04 15:39
449,bargain,매매,noun,b2,enko,2025-08-04 15:39
450,barrel,통,noun,c1,enko,2025-08-04 15:39
451,barrier,장벽,noun,b2,enko,2025-08-04 15:39
452,base,베이스,noun,b1,enko,2025-08-04 15:39
453,base,베이스,verb,b1,enko,2025-08-04 15:39
454,baseball,야구,noun,a2,enko,2025-08-04 15:39
455,based,기반을 둔,adjective,a2,enko,2025-08-04 15:39
456,basement,최하부,noun,b2,enko,2025-08-04 15:39
457,basic,기초적인,adjective,b1,enko,2025-08-04 15:39
458,basically,원래,adverb,b2,enko,2025-08-04 15:39
459,basis,기초,noun,b1,enko,2025-08-04 15:39
460,basket,바구니,noun,b2,enko,2025-08-04 15:39
461,basketball,농구,noun,a2,enko,2025-08-04 15:39
462,bass,베이스,noun,c1,enko,2025-08-04 15:39
