id,word,meaning,pos,level,dictionaryType,created_at,,,
160,강의,lecture,명사,C,koen,,,,
161,강의하다,Give a lecture,동사,C,koen,,,,
162,강제,forcing,명사,B,koen,,,,
163,강조,stress,명사,C,koen,,,,
164,강조하다,emphasize,동사,B,koen,,,,
165,강하다,Strong,형용사,B,koen,,,,
166,강화하다,Strengthen,동사,C,koen,,,,
167,갖가지,All kinds,명사,C,koen,,,,
168,갖다,take,동사,B,koen,,,,
169,갖다,take,보조 용언,B,koen,,,,
170,갖추다,get ready,동사,C,koen,,,,
171,같다,Same,형용사,A,koen,,,,
172,같이,together,부사,A,koen,,,,
173,같이하다,Be together,동사,C,koen,,,,
174,갚다,expiate,동사,C,koen,,,,
175,개,dog,명사,A,koen,,,,
176,개,dog,의존 명사,A,koen,,,,
177,개개인,Individual,명사,C,koen,,,,
178,개구리,frog,명사,B,koen,,,,
179,개국,Founding,의존 명사,C,koen,,,,
180,개나리,Forsythia,명사,B,koen,,,,
181,개다,fold,동사,C,koen,,,,
182,개미,ant,명사,C,koen,,,,
183,개발되다,be developed,동사,C,koen,,,,
184,개발하다,Develop,동사,B,koen,,,,
185,개방,Open,명사,C,koen,,,,
186,개방되다,be open,동사,C,koen,,,,
187,개방하다,Open,동사,C,koen,,,,
188,개별,Individual,명사,C,koen,,,,
189,개선,improvement,명사,C,koen,,,,
190,개선되다,Improved,동사,C,koen,,,,
191,개선하다,improve,동사,C,koen,,,,
192,개성,individuality,명사,C,koen,,,,
193,개월,months,의존 명사,A,koen,,,,
194,개인,individual,명사,B,koen,,,,
195,개인적,personal,명사,B,koen,,,,
196,객관적,objective,명사,C,koen,,,,
197,걔,That guy,분석 불능,B,koen,,,,
198,거,thing,대명사,A,koen,,,,
199,거,thing,의존 명사,A,koen,,,,
200,거기,there,대명사,A,koen,,,,
201,거꾸로,upside down,부사,C,koen,,,,
202,거대하다,It's huge,형용사,C,koen,,,,
203,거두다,reap,동사,C,koen,,,,
204,거들다,assist,동사,C,koen,,,,
205,거듭,Again,부사,C,koen,,,,
206,거리,distance,명사,A,koen,,,,
207,거리,distance,의존 명사,B,koen,,,,
208,거리,distance,명사,C,koen,,,,
209,거부하다,Reject,동사,C,koen,,,,
210,거실,living room,명사,B,koen,,,,
211,거액,mint,명사,C,koen,,,,
212,거울,mirror,명사,A,koen,,,,
213,거의,almost,부사,B,koen,,,,
214,거절하다,refuse,동사,C,koen,,,,
215,거짓,untruth,명사,B,koen,,,,
216,거짓말,lie,명사,B,koen,,,,
217,거치다,pass through,동사,C,koen,,,,
218,거칠다,crudity,형용사,C,koen,,,,
219,거품,bubble,명사,C,koen,,,,
220,걱정,worry,명사,A,koen,,,,
221,걱정되다,be worried,동사,B,koen,,,,
222,걱정스럽다,worried,형용사,B,koen,,,,
223,걱정하다,worry,동사,A,koen,,,,
224,건,case,의존 명사,C,koen,,,,
225,건강,health,명사,A,koen,,,,
226,건강하다,Healthy,형용사,A,koen,,,,
227,건너,Cross,명사,C,koen,,,,
228,건너가다,Cross over,동사,B,koen,,,,
229,건너다,go over,동사,B,koen,,,,
230,건너오다,come across,동사,B,koen,,,,
231,건너편,across the street,명사,B,koen,,,,
232,건넌방,Guest room,명사,C,koen,,,,
233,건네다,carry across,동사,C,koen,,,,
234,건네주다,hand over,동사,C,koen,,,,
235,건드리다,touch,동사,C,koen,,,,
236,건물,building,명사,A,koen,,,,
237,건설,erection,명사,C,koen,,,,
238,건설되다,be built,동사,C,koen,,,,
239,건설하다,Build,동사,C,koen,,,,
240,건전하다,Healthy,형용사,C,koen,,,,
241,건조,dry,명사,C,koen,,,,
242,건조하다,dry,형용사,C,koen,,,,
243,건지다,Rescue,동사,B,koen,,,,
244,건축,building,명사,B,koen,,,,
245,걷기,walking,명사,C,koen,,,,
246,걷다,walk,동사,A,koen,,,,
247,걷다,roll up,동사,C,koen,,,,
248,걷다,gather,동사,C,koen,,,,
249,걸다,hang,동사,A,koen,,,,
250,걸리다,hang,동사,B,koen,,,,
251,걸어가다,Walk,동사,A,koen,,,,
252,걸어오다,Walk over,동사,A,koen,,,,
253,걸음,step,명사,B,koen,,,,
254,걸치다,cover,동사,C,koen,,,,
255,검다,Black,형용사,B,koen,,,,
256,검사,test,명사,C,koen,,,,
257,검사,test,명사,B,koen,,,,
258,검은색,black,명사,A,koen,,,,
259,검정색,sable,명사,B,koen,,,,
260,검토,examine,명사,C,koen,,,,
261,겁,cowardice,명사,B,koen,,,,
262,겁나다,be scared,동사,C,koen,,,,
263,것,thing,의존 명사,A,koen,,,,
264,겉,outside,명사,B,koen,,,,
265,게,crab,명사,C,koen,,,,
266,게다가,furthermore,부사,B,koen,,,,
267,게시판,notice board,명사,C,koen,,,,
268,게으르다,lazy,형용사,C,koen,,,,
269,게임,game,명사,A,koen,,,,
270,겨우,barely,부사,B,koen,,,,
271,겨울,winter,명사,A,koen,,,,
272,겨울철,winter,명사,B,koen,,,,
273,겨자,mustard,명사,C,koen,,,,
274,겪다,experience,동사,C,koen,,,,
275,견디다,endure,동사,B,koen,,,,
276,견해,view,명사,C,koen,,,,
277,결과,result,명사,B,koen,,,,
278,결과적,consequently,명사,C,koen,,,,
279,결국,at last,명사,B,koen,,,,
280,결론,conclusion,명사,C,koen,,,,
281,결석,absence,명사,C,koen,,,,
282,결석하다,absent,동사,C,koen,,,,
283,결승,finals,명사,C,koen,,,,
284,결심,determination,명사,C,koen,,,,
285,결심하다,decide,동사,B,koen,,,,
286,결정,decision,명사,B,koen,,,,
287,결정되다,be decided,동사,B,koen,,,,
288,결정하다,decide,동사,B,koen,,,,
289,결코,Never,부사,C,koen,,,,
290,결혼,marriage,명사,A,koen,,,,
291,결혼식,wedding ceremony,명사,A,koen,,,,
292,결혼하다,get married,동사,A,koen,,,,
293,경계,boundary,명사,C,koen,,,,
294,경고,warning,명사,C,koen,,,,
295,경고하다,warn,동사,C,koen,,,,
296,경기,game,명사,C,koen,,,,
297,경기,game,명사,B,koen,,,,
298,경기도,gyeonggi-do,고유 명사,B,koen,,,,
299,경기장,stadium,명사,B,koen,,,,
300,경력,personal history,명사,C,koen,,,,
301,경복궁,Gyeongbokgung Palace,고유 명사,A,koen,,,,
302,경비,expenses,명사,C,koen,,,,
303,경상도,Gyeongsang Province,고유 명사,B,koen,,,,
304,경영,management,명사,B,koen,,,,
305,경영하다,Manage,동사,C,koen,,,,
306,경우,case,명사,B,koen,,,,
307,경쟁,competition,명사,C,koen,,,,
308,경쟁력,competitiveness,명사,C,koen,,,,
309,경제,economy,명사,B,koen,,,,
310,경제력,economic power,명사,C,koen,,,,
311,경제적,economic,명사,B,koen,,,,
312,경제학,economics,명사,C,koen,,,,
313,경주,race,고유 명사,A,koen,,,,
314,경찰,police,명사,A,koen,,,,
315,경찰관,police officer,명사,A,koen,,,,
316,경찰서,police office,명사,A,koen,,,,
317,경치,sight,명사,A,koen,,,,
318,경향,tendency,명사,C,koen,,,,
319,경험,experience,명사,B,koen,,,,
320,경험하다,experience,동사,B,koen,,,,
321,곁,neighborhood,명사,B,koen,,,,
322,계곡,valley,명사,C,koen,,,,
323,계단,stairs,명사,B,koen,,,,
324,계란,egg,명사,A,koen,,,,
325,계산,calculate,명사,B,koen,,,,
326,계산기,calculating machine,명사,B,koen,,,,
327,계산하다,calculate,동사,B,koen,,,,
328,계속,continue,부사,A,koen,,,,
329,계속되다,Continue,동사,B,koen,,,,
330,계속하다,Continue,동사,B,koen,,,,
331,계시다,There is,보조 용언,A,koen,,,,
332,계시다,There is,동사,A,koen,,,,
333,계약,contract,명사,B,koen,,,,
334,계절,season,명사,A,koen,,,,
335,계좌,account,명사,C,koen,,,,
336,계층,hierarchy,명사,C,koen,,,,
337,계획,plan,명사,A,koen,,,,
338,계획하다,plan,동사,B,koen,,,,
339,고개,head,명사,B,koen,,,,
340,고개,head,명사,C,koen,,,,
341,고객,customer,명사,B,koen,,,,
342,고교,high school,명사,B,koen,,,,
343,고구려,Goguryeo,고유 명사,C,koen,,,,
344,고구마,sweet potato,명사,B,koen,,,,
345,고궁,Palace,명사,C,koen,,,,
346,고급,Advanced,명사,B,koen,,,,
347,고급스럽다,luxurious,형용사,C,koen,,,,
348,고기,meat,명사,A,koen,,,,
349,고등학교,high school,명사,A,koen,,,,
350,고등학생,high school students,명사,A,koen,,,,
351,고려,consideration,고유 명사,C,koen,,,,
352,고려하다,consider,동사,B,koen,,,,
353,고르다,choose,동사,B,koen,,,,
354,고르다,choose,형용사,B,koen,,,,
355,고맙다,thanks,형용사,A,koen,,,,
356,고모,aunt,명사,B,koen,,,,
357,고모부,uncle,명사,B,koen,,,,
358,고무신,rubber shoes,명사,C,koen,,,,
359,고민,worry,명사,B,koen,,,,
360,고민하다,worry,동사,B,koen,,,,
361,고생,trouble,명사,B,koen,,,,
362,고생하다,go through a hardship,동사,B,koen,,,,
363,고소하다,accuse,형용사,C,koen,,,,
364,고속,High speed,명사,B,koen,,,,
365,고속도로,highway,명사,B,koen,,,,
366,고속버스,Express bus,명사,B,koen,,,,
367,고양이,cat,명사,A,koen,,,,
368,고요하다,It's quiet,형용사,C,koen,,,,
369,고작,At most,부사,C,koen,,,,
370,고장,district,명사,B,koen,,,,
371,고장,defect,명사,B,koen,,,,
372,고전,Classical,명사,C,koen,,,,
373,고집,persistence,명사,C,koen,,,,
374,고집하다,insist,동사,C,koen,,,,
375,고추,pepper,명사,B,koen,,,,
376,고추장,chili pepper paste,명사,B,koen,,,,
377,고춧가루,red pepper powder,명사,B,koen,,,,
378,고치다,fix,동사,B,koen,,,,
379,고통,pain,명사,B,koen,,,,
380,고통스럽다,It's painful,형용사,C,koen,,,,
381,고프다,I'm hungry,형용사,A,koen,,,,
382,고함,cry,명사,C,koen,,,,
383,고향,hometown,명사,A,koen,,,,
384,곡,song,명사,C,koen,,,,
385,곡식,cereals,명사,C,koen,,,,
386,곤란하다,It's difficult,형용사,C,koen,,,,
387,곧,soon,부사,A,koen,,,,
388,곧다,Straight,형용사,C,koen,,,,
389,곧바로,straight,부사,B,koen,,,,
390,곧이어,Soon after,부사,C,koen,,,,
391,곧잘,Often,부사,C,koen,,,,
392,곧장,directly,부사,C,koen,,,,
393,골,goal,명사,C,koen,,,,
394,골고루,Evenly,부사,C,koen,,,,
395,골목,alley,명사,B,koen,,,,
396,골목길,close,명사,B,koen,,,,
397,골짜기,valley,명사,C,koen,,,,
398,골치,headache,명사,C,koen,,,,
399,골프,golf,명사,B,koen,,,,
400,골프장,golf course,명사,B,koen,,,,
401,곰,bear,명사,B,koen,,,,
402,곱다,Beautiful,형용사,B,koen,,,,
403,곳,place,명사,A,koen,,,,
404,곳곳,everywhere,명사,B,koen,,,,
405,공,ball,명사,A,koen,,,,
406,공간,space,명사,B,koen,,,,
407,공개,release,명사,C,koen,,,,
408,공개하다,make public,동사,C,koen,,,,
409,공격,attack,명사,C,koen,,,,
410,공격하다,attack,동사,C,koen,,,,
411,공공,public,명사,C,koen,,,,
412,공군,air force,명사,C,koen,,,,
413,공급,supply,명사,C,koen,,,,
414,공기,air,명사,B,koen,,,,
415,공기,air,명사,C,koen,,,,
416,공동,cavity,명사,B,koen,,,,
417,공무원,public official,명사,B,koen,,,,
418,공부,study,명사,A,koen,,,,
419,공부하다,study,동사,A,koen,,,,
420,공사,construction,명사,B,koen,,,,
421,공식,official,명사,C,koen,,,,
422,공식적,Official,명사,C,koen,,,,
423,공업,Industry,명사,C,koen,,,,
424,공연,performance,명사,B,koen,,,,
425,공연되다,be performed,동사,C,koen,,,,
426,공연장,concert hall,명사,C,koen,,,,
427,공연하다,perform,동사,C,koen,,,,
428,공연히,vainly,부사,C,koen,,,,
429,공원,park,명사,A,koen,,,,
430,공장,factory,명사,B,koen,,,,
431,공주,princess,명사,C,koen,,,,
432,공중,air,명사,C,koen,,,,
433,공중전화,public telephone,명사,A,koen,,,,
434,공짜,Free,명사,B,koen,,,,
435,공책,notebook,명사,A,koen,,,,
436,공통,commonness,명사,C,koen,,,,
437,공통되다,Be common,동사,C,koen,,,,
438,공통적,common,명사,C,koen,,,,
439,공통점,Commonalities,명사,C,koen,,,,
440,공포,horror,명사,C,koen,,,,
441,공항,airplane,명사,A,koen,,,,
442,공항버스,Airport bus,명사,B,koen,,,,
443,공해,pollution,명사,C,koen,,,,
444,공휴일,public holidays,명사,A,koen,,,,
445,과,class,명사,C,koen,,,,
446,과,class,명사,A,koen,,,,
447,과거,past,명사,C,koen,,,,
448,과거,past,명사,B,koen,,,,
449,과목,Subject,명사,B,koen,,,,
450,과연,indeed,부사,C,koen,,,,
451,과외,tutoring,명사,C,koen,,,,
452,과일,fruit,명사,A,koen,,,,
453,과자,snack,명사,A,koen,,,,
454,과장,exaggeration,명사,B,koen,,,,
455,과정,procedure,명사,C,koen,,,,
456,과정,procedure,명사,C,koen,,,,
457,과제,assignment,명사,B,koen,,,,
458,과학,science,명사,B,koen,,,,
459,과학자,scientist,명사,B,koen,,,,
460,과학적,scientific,명사,B,koen,,,,
461,관객,gallery,명사,B,koen,,,,
462,관계,relationship,명사,B,koen,,,,
463,관계되다,be related,동사,C,koen,,,,
464,관계없이,Regardless,부사,C,koen,,,,
465,관계자,Officials,명사,C,koen,,,,
466,관광,sightseeing,명사,B,koen,,,,
467,관광객,tourist,명사,B,koen,,,,
468,관광버스,tour bus,명사,C,koen,,,,
469,관광지,tourist attractions,명사,B,koen,,,,
470,관념,idea,명사,C,koen,,,,
471,관람,Viewing,명사,C,koen,,,,
472,관람객,Spectators,명사,C,koen,,,,
473,관련,related,명사,B,koen,,,,
474,관련되다,be related,동사,B,koen,,,,
475,관련하다,Relate to,동사,B,koen,,,,
476,관리,management,명사,C,koen,,,,
477,관리,management,명사,B,koen,,,,
478,관리하다,manage,동사,C,koen,,,,
479,관습,custom,명사,C,koen,,,,
480,관심,interest,명사,B,koen,,,,
481,관심사,interest,명사,C,koen,,,,
482,관점,aspect,명사,C,koen,,,,
483,관찰,observation,명사,C,koen,,,,
484,관찰하다,observe,동사,B,koen,,,,
485,관하다,Observe,동사,B,koen,,,,
486,광경,spectacle,명사,C,koen,,,,
487,광고,advertisement,명사,B,koen,,,,
488,광장,square,명사,C,koen,,,,
489,광주,gwangju,고유 명사,B,koen,,,,
490,괜찮다,It's okay,형용사,A,koen,,,,
491,괜히,For no reason,부사,B,koen,,,,
492,괴로움,suffering,명사,C,koen,,,,
493,괴로워하다,suffer,동사,C,koen,,,,
494,괴롭다,pain,형용사,B,koen,,,,
495,괴롭히다,bother,동사,C,koen,,,,
496,굉장하다,Awesome,형용사,C,koen,,,,
497,굉장히,greatly,부사,B,koen,,,,
498,교과서,textbook,명사,A,koen,,,,
499,교내,On campus,명사,C,koen,,,,
500,교대,shift,명사,C,koen,,,,
501,교류,Exchange,명사,B,koen,,,,
502,교문,school gate,명사,B,koen,,,,
503,교복,school uniform,명사,C,koen,,,,
504,교사,schoolmaster,명사,C,koen,,,,
505,교수,professor,명사,A,koen,,,,
506,교시,period,의존 명사,C,koen,,,,
507,교실,classroom,명사,A,koen,,,,
508,교양,culture,명사,C,koen,,,,
509,교외,suburbs,명사,C,koen,,,,
510,교육,education,명사,B,koen,,,,
511,교육비,Education expenses,명사,C,koen,,,,
512,교육자,educator,명사,C,koen,,,,
513,교장,headmaster,명사,C,koen,,,,
514,교재,Textbook,명사,C,koen,,,,
515,교직,union,명사,C,koen,,,,
516,교체,shift,명사,C,koen,,,,
517,교통,traffic,명사,A,koen,,,,
518,교통사고,traffic accident,명사,B,koen,,,,
519,교포,Korean expatriates,명사,B,koen,,,,
520,교환,exchange,명사,B,koen,,,,
521,교환하다,exchange,동사,C,koen,,,,
522,교회,church,명사,A,koen,,,,
523,교훈,lesson,명사,C,koen,,,,
524,구,nine,수사,A,koen,,,,
525,구,nine,명사,C,koen,,,,
526,구경,caliber,명사,A,koen,,,,
527,구경하다,watch,동사,B,koen,,,,
528,구두,shoes,명사,A,koen,,,,
529,구르다,recoil,동사,C,koen,,,,
530,구름,cloud,명사,A,koen,,,,
531,구멍,hole,명사,B,koen,,,,
532,구별,distinction,명사,C,koen,,,,
533,구별되다,be distinguished,동사,C,koen,,,,
534,구별하다,Distinguish,동사,C,koen,,,,
535,구분,division,명사,C,koen,,,,
536,구분되다,be distinguished,동사,C,koen,,,,
537,구분하다,divide,동사,C,koen,,,,
538,구석,corner,명사,C,koen,,,,
539,구석구석,Every nook and cranny,명사,C,koen,,,,
540,구성,composition,명사,C,koen,,,,
541,구성되다,be composed,동사,C,koen,,,,
542,구성하다,compose,동사,C,koen,,,,
543,구속,redemption,명사,C,koen,,,,
544,구속되다,be arrested,동사,C,koen,,,,
545,구속하다,restrain,동사,C,koen,,,,
546,구십,ninety,수사,A,koen,,,,
547,구역,zone,명사,C,koen,,,,
548,구월,September,명사,A,koen,,,,
549,구입,Purchase,명사,C,koen,,,,
550,구입하다,buy,동사,C,koen,,,,
551,구조,structure,명사,C,koen,,,,
552,구청,District Office,명사,C,koen,,,,
553,구체적,Specific,명사,B,koen,,,,
554,구하다,get,동사,B,koen,,,,
555,구하다,get,동사,B,koen,,,,
556,국,soup,명사,B,koen,,,,
557,국가,nation,명사,B,koen,,,,
558,국가적,National,명사,C,koen,,,,
559,국기,gonfalon,명사,B,koen,,,,
560,국내,Domestic,명사,B,koen,,,,
561,국내선,Domestic flights,명사,C,koen,,,,
562,국내외,Domestic and international,명사,C,koen,,,,
563,국립,establishment,명사,B,koen,,,,
564,국물,soup,명사,B,koen,,,,
565,국민,people,명사,B,koen,,,,
566,국민적,National,명사,C,koen,,,,
567,국사,National History,명사,C,koen,,,,
568,국산,domestically produced,명사,C,koen,,,,
569,국수,noodle,명사,B,koen,,,,
570,국어,Korean,명사,B,koen,,,,
571,국왕,King,명사,C,koen,,,,
572,국적,nationality,명사,C,koen,,,,
573,국제,International,명사,B,koen,,,,
574,국제선,International flights,명사,C,koen,,,,
575,국제적,international,명사,C,koen,,,,
576,국제화,Internationalization,명사,C,koen,,,,
577,국회,Congress,명사,C,koen,,,,
578,국회의원,Member of the National Assembly,명사,B,koen,,,,
579,군,army,의존 명사,B,koen,,,,
580,군,army,명사,B,koen,,,,
581,군,army,명사,C,koen,,,,
582,군대,army,명사,B,koen,,,,
583,군데,military,의존 명사,B,koen,,,,
584,군사,soldier,명사,C,koen,,,,
585,군사,soldier,명사,C,koen,,,,
586,군인,soldier,명사,A,koen,,,,
587,굳다,Hard,형용사,C,koen,,,,
588,굳어지다,harden,동사,C,koen,,,,
589,굳이,By all means,부사,B,koen,,,,
590,굳히다,bind,동사,C,koen,,,,
591,굵다,Bold,형용사,B,koen,,,,
592,굶다,starve,동사,C,koen,,,,
593,굽다,broil,동사,B,koen,,,,
594,굽히다,bend,동사,C,koen,,,,
595,궁극적,Ultimate,명사,C,koen,,,,
596,궁금하다,I'm curious,형용사,B,koen,,,,
597,권,volume,의존 명사,A,koen,,,,
598,권리,right,명사,C,koen,,,,
599,권위,authority,명사,C,koen,,,,
600,권투,boxing,명사,B,koen,,,,
601,권하다,offer,동사,B,koen,,,,
602,귀,ear,명사,A,koen,,,,
603,귀가,homecoming,명사,C,koen,,,,
604,귀가하다,Return home,동사,C,koen,,,,
605,귀국,Return home,명사,B,koen,,,,
606,귀국하다,Return home,동사,B,koen,,,,
607,귀신,ghost,명사,C,koen,,,,
608,귀엽다,cute,형용사,B,koen,,,,
609,귀중하다,precious,형용사,C,koen,,,,
610,귀찮다,it's bothering,형용사,C,koen,,,,
611,귀하다,precious,형용사,C,koen,,,,
612,귓속,In the ear,명사,C,koen,,,,
613,규모,scale,명사,C,koen,,,,
614,규정,provision,명사,C,koen,,,,
615,규칙,rule,명사,B,koen,,,,
616,규칙적,Regular,명사,B,koen,,,,
617,균형,balance,명사,C,koen,,,,
618,귤,mandarin,명사,C,koen,,,,
619,그,that,대명사,A,koen,,,,
620,그,that,관형사,A,koen,,,,
621,그,that,감탄사,A,koen,,,,
622,그간,In the meantime,명사,C,koen,,,,
623,그거,that,대명사,A,koen,,,,
624,그것,that,대명사,A,koen,,,,
625,그곳,There,대명사,A,koen,,,,
626,그나마,At least,부사,C,koen,,,,
627,그날,That day,명사,A,koen,,,,
628,그냥,just,부사,B,koen,,,,
629,그녀,She,대명사,C,koen,,,,
630,그놈,That guy,대명사,C,koen,,,,
631,그늘,shade,명사,B,koen,,,,
632,그다음,Next,명사,B,koen,,,,
633,그다지,very,부사,B,koen,,,,
634,그대,you,대명사,C,koen,,,,
635,그대로,like that,부사,B,koen,,,,
636,그동안,In the meantime,명사,A,koen,,,,
637,그때,at that time,명사,A,koen,,,,
638,그때그때,From time to time,부사,C,koen,,,,
639,그래,okay,감탄사,A,koen,,,,
640,그래,okay,분석 불능,A,koen,,,,
641,그래도,still,분석 불능,B,koen,,,,
642,그래서,so,부사,A,koen,,,,
